laptop_time_iso,esp_ms,ax,ay,az,motion,avg_motion_10s,state
2026-03-14T02:08:38.088322,1125873,-1152,1032,16996,192.88,261.15,RUNNING
2026-03-14T02:08:38.188457,1125973,-1532,820,17064,173.64,261.15,RUNNING
2026-03-14T02:08:38.288179,1126073,-612,920,16676,221.53,261.15,RUNNING
2026-03-14T02:08:38.387907,1126173,-1252,876,16740,199.12,261.15,RUNNING
2026-03-14T02:08:38.496735,1126273,-736,968,16768,163.72,261.15,RUNNING
2026-03-14T02:08:38.588580,1126373,-656,852,16520,180.52,261.15,RUNNING
2026-03-14T02:08:38.688327,1126473,-1860,1056,17168,282.26,261.15,RUNNING
2026-03-14T02:08:38.788074,1126573,-764,716,16340,398.35,261.15,RUNNING
2026-03-14T02:08:38.888112,1126673,-372,760,16364,328.87,261.15,RUNNING
2026-03-14T02:08:38.992392,1126773,-780,664,16572,308.87,261.15,RUNNING
2026-03-14T02:08:39.088166,1126873,-720,764,16332,296.10,261.15,RUNNING
2026-03-14T02:08:39.188058,1126973,-1328,836,16908,353.50,261.15,RUNNING
2026-03-14T02:08:39.288086,1127073,-1300,868,16780,312.91,261.15,RUNNING
2026-03-14T02:08:39.388153,1127173,-1748,788,17000,302.51,261.15,RUNNING
2026-03-14T02:08:39.490774,1127273,-276,592,16512,352.98,261.15,RUNNING
2026-03-14T02:08:39.588033,1127373,-748,864,16744,335.89,295.98,RUNNING
2026-03-14T02:08:39.688210,1127473,-792,744,16464,326.39,295.98,RUNNING
2026-03-14T02:08:39.787955,1127573,-888,856,16640,301.09,295.98,RUNNING
2026-03-14T02:08:39.887926,1127673,-500,616,16784,267.97,295.98,RUNNING
2026-03-14T02:08:39.988277,1127773,-952,812,16716,226.93,295.98,RUNNING
2026-03-14T02:08:40.087848,1127873,-816,992,16496,225.11,295.98,RUNNING
2026-03-14T02:08:40.188021,1127973,-408,952,16580,196.54,295.98,RUNNING
2026-03-14T02:08:40.288925,1128073,-696,948,16352,200.42,295.98,RUNNING
2026-03-14T02:08:40.389070,1128173,-220,752,16404,169.47,295.98,RUNNING
2026-03-14T02:08:40.548778,1128273,-720,952,16564,172.13,295.98,RUNNING
2026-03-14T02:08:40.588373,1128373,-664,696,16544,147.45,295.98,RUNNING
2026-03-14T02:08:40.687990,1128473,-440,748,16488,131.91,295.98,RUNNING
2026-03-14T02:08:40.788165,1128573,-516,852,16408,121.23,295.98,RUNNING
2026-03-14T02:08:40.888735,1128673,-700,888,16500,117.50,295.98,RUNNING
2026-03-14T02:08:41.035420,1128773,-1012,744,16744,141.77,295.98,RUNNING
2026-03-14T02:08:41.088297,1128873,-1488,884,16936,158.22,295.98,RUNNING
2026-03-14T02:08:41.187636,1128973,-472,876,16480,222.30,295.98,RUNNING
2026-03-14T02:08:41.287873,1129073,-540,764,16704,221.91,295.98,RUNNING
2026-03-14T02:08:41.387881,1129173,-496,804,16376,240.82,295.98,RUNNING
2026-03-14T02:08:41.488554,1129273,-412,720,16480,215.05,295.98,RUNNING
2026-03-14T02:08:41.587969,1129373,-656,852,16532,188.23,295.98,RUNNING
2026-03-14T02:08:41.687632,1129473,-724,892,16304,194.40,295.98,RUNNING
2026-03-14T02:08:41.787801,1129573,-204,824,16544,199.25,295.98,RUNNING
2026-03-14T02:08:41.888000,1129673,-404,696,16316,204.77,295.98,RUNNING
2026-03-14T02:08:42.011128,1129773,-768,744,16768,251.83,295.98,RUNNING
2026-03-14T02:08:42.087823,1129873,-228,524,16412,274.92,295.98,RUNNING
2026-03-14T02:08:42.187917,1129973,-632,912,16716,284.99,295.98,RUNNING
2026-03-14T02:08:42.287862,1130073,-896,812,16804,250.73,295.98,RUNNING
2026-03-14T02:08:42.387752,1130173,-472,668,16508,263.05,295.98,RUNNING
2026-03-14T02:08:42.497876,1130273,-492,816,16656,243.60,295.98,RUNNING
